Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1011BB;15;5;10;-99997;-99997;5;5;-99997;40;60;-99997;5;-99997;-99997;-99997;-99997;2,3;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011BC;40;20;20;-99997;10;25;-99997;-99997;70;20;10;30;20;10;-99997;-99997;1,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;-99997;-99997;711;-99997
1011BD;35;20;15;5;-99997;10;10;5;80;20;-99997;15;10;-99997;-99997;-99997;2,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;663;-99997
1011BG;30;15;10;-99997;-99997;10;10;-99997;70;30;-99997;20;15;-99997;-99997;-99997;1,5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011BH;55;30;25;5;10;15;15;10;50;40;-99997;30;15;10;-99997;5;1,8;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;40;60;-99997;-99997;833;-99997
1011BJ;55;20;35;-99997;10;25;10;-99997;60;30;-99997;35;25;5;-99997;5;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;-99997;-99997;954;-99997
1011BK;15;5;5;-99997;-99997;5;-99997;-99997;50;40;-99997;10;10;-99997;-99997;-99997;1,1;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;50;-99997;-99997;-99997;597;-99997
1011BL;15;10;5;-99997;-99997;5;5;-99997;90;-99997;-99997;10;-99997;-99997;-99997;-99997;1,8;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;623;-99997
1011BM;15;5;10;-99997;-99997;-99997;10;-99997;40;50;-99997;10;-99997;-99997;-99997;-99997;2,0;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;751;-99997
1011BN;20;10;5;-99997;-99997;5;-99997;10;80;-99997;-99997;15;10;-99997;-99997;-99997;1,3;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;50;50;-99997;-99997;795;-99997
1011BP;25;15;10;-99997;5;10;5;-99997;60;40;-99997;15;-99997;5;-99997;-99997;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;70;-99997;-99997;945;-99997
1011BR;15;10;5;-99997;-99997;5;-99997;10;70;-99997;-99997;10;5;-99997;-99997;-99997;1,4;10;5;-99997;5;-99997;-99997;-99997;-99997;-99997;10;-99997;80;-99997;-99997;509;-99997
1011BS;35;20;20;-99997;10;10;10;5;40;50;-99997;20;5;5;-99997;-99997;2,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;732;-99997
1011BT;35;15;20;5;5;10;10;5;70;30;-99997;20;10;5;-99997;-99997;1,7;25;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;80;30;-99997;5;643;-99997
1011BV;25;10;15;-99997;-99997;-99997;10;5;50;40;-99997;20;15;-99997;-99997;-99997;1,3;15;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;579;-99997
1011BW;30;15;15;-99997;-99997;15;15;-99997;60;30;-99997;25;25;-99997;-99997;-99997;1,1;25;10;-99997;-99997;-99997;10;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;385;5
1011BX;30;15;15;-99997;-99997;15;5;5;60;20;20;20;15;5;-99997;-99997;1,4;20;10;-99997;-99997;-99997;10;-99997;-99997;-99997;20;-99997;80;15;-99997;437;-99997
1011BZ;30;10;15;-99997;-99997;10;5;5;50;30;20;20;15;-99997;-99997;-99997;1,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;-99997;5;406;-99997
1011CA;35;20;15;-99997;-99997;15;15;5;60;30;-99997;20;10;10;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;502;-99997
1011CB;25;15;10;-99997;-99997;10;5;5;80;20;-99997;15;10;-99997;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;30;70;-99997;-99997;480;-99997
1011CC;25;10;15;-99997;-99997;-99997;10;10;50;30;-99997;15;10;5;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;30;70;-99997;-99997;466;-99997
1011CD;30;20;10;5;-99997;5;15;-99997;50;40;-99997;15;10;-99997;-99997;-99997;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;-99997;-99997;-99997;406;-99997
1011CE;15;10;5;-99997;-99997;5;5;-99997;60;40;-99997;10;5;-99997;-99997;-99997;1,5;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;555;-99997
1011CH;25;15;10;-99997;-99997;15;10;-99997;50;-99997;30;20;15;5;-99997;-99997;1,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;80;5;-99997;449;-99997
1011CJ;15;10;5;-99997;-99997;10;-99997;-99997;70;-99997;-99997;10;10;-99997;-99997;-99997;1,4;15;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;358;-99997
1011CK;20;10;10;-99997;-99997;10;5;-99997;70;-99997;-99997;15;10;5;-99997;-99997;1,4;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;80;-99997;-99997;290;-99997
1011CL;15;5;5;-99997;-99997;5;-99997;-99997;50;-99997;50;10;10;-99997;-99997;-99997;1,3;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011CM;80;45;35;10;10;35;20;10;70;20;10;55;35;10;-99997;5;1,5;55;30;-99997;-99997;-99997;10;-99997;10;-99997;55;50;50;20;5;448;-99997
1011CN;20;10;10;5;-99997;10;5;-99997;60;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;80;-99997;-99997;-99997;731;-99997
1011CP;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011CR;20;10;10;-99997;-99997;-99997;5;5;70;-99997;-99997;10;10;-99997;-99997;-99997;1,5;10;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;10;-99997;80;5;-99997;583;-99997
1011CS;30;20;15;-99997;-99997;10;10;5;50;40;-99997;20;15;-99997;-99997;-99997;1,4;25;15;-99997;-99997;-99997;10;-99997;-99997;-99997;25;30;70;15;5;444;-99997
1011CT;25;10;10;-99997;-99997;5;10;-99997;60;30;-99997;15;5;5;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;30;-99997;-99997;504;-99997
1011CV;25;10;10;-99997;-99997;10;-99997;-99997;30;70;-99997;15;5;5;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;483;-99997
1011CW;30;15;15;-99997;-99997;15;5;5;50;40;-99997;15;10;-99997;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;5;-99997;510;-99997
1011CX;25;10;20;-99997;5;10;5;-99997;60;40;-99997;15;10;-99997;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;487;-99997
1011CZ;35;20;15;-99997;-99997;10;10;5;70;20;-99997;25;15;5;-99997;-99997;1,5;20;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;60;40;-99997;-99997;534;-99997
1011DB;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
