Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1013RP;320;165;155;50;25;105;100;40;40;10;50;190;115;25;25;20;1,7;190;170;-99997;-99997;20;-99997;-99997;-99997;-99997;190;-99997;100;185;-99997;349;80
1013RR;25;15;10;-99997;-99997;15;5;-99997;30;50;20;15;5;5;-99997;-99997;1,7;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;50;50;5;-99997;422;-99997
1013RS;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013RT;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013RV;20;10;10;-99997;-99997;15;-99997;-99997;50;40;-99997;15;10;-99997;-99997;-99997;1,4;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;60;40;-99997;-99997;315;-99997
1013RW;180;85;90;20;10;90;45;15;60;20;30;120;80;25;10;5;1,5;125;110;-99997;-99997;15;-99997;-99997;-99997;-99997;125;30;70;30;10;312;20
1013RX;55;25;25;5;-99997;35;10;-99997;90;-99997;-99997;35;25;5;-99997;-99997;1,5;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;-99997;100;-99997;-99997;378;-99997
1013RZ;50;25;25;15;-99997;20;10;-99997;50;20;30;20;10;-99997;-99997;5;2,4;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;60;10;-99997;469;10
1013SB;45;20;30;-99997;5;20;10;5;60;30;10;30;20;5;-99997;-99997;1,5;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;30;70;15;-99997;438;-99997
1013SC;35;20;15;-99997;-99997;15;10;-99997;40;30;30;20;15;5;-99997;-99997;1,5;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;40;60;10;-99997;437;-99997
1013SE;45;25;20;-99997;-99997;15;15;5;40;10;40;25;20;-99997;-99997;5;1,6;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;40;60;15;-99997;436;5
1013SG;35;15;20;-99997;-99997;15;10;-99997;50;30;30;20;15;-99997;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;10;-99997;389;-99997
1013SH;35;20;15;-99997;-99997;15;10;-99997;40;-99997;50;20;5;5;-99997;-99997;1,9;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;10;-99997;441;-99997
1013SJ;55;30;25;10;-99997;30;15;-99997;50;20;20;35;20;10;-99997;-99997;1,7;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;50;50;10;-99997;318;10
1013SK;20;10;10;-99997;-99997;5;5;-99997;40;-99997;60;10;-99997;-99997;-99997;-99997;2,0;10;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997
1013SL;115;65;50;15;5;55;30;10;40;30;30;75;50;15;-99997;5;1,5;70;70;-99997;-99997;-99997;-99997;-99997;-99997;-99997;70;-99997;100;45;-99997;310;15
1013SM;80;35;45;-99997;15;35;20;5;40;20;40;45;25;10;-99997;-99997;1,8;45;-99997;-99997;-99997;20;20;-99997;-99997;10;45;30;70;15;5;330;10
1013SN;95;55;40;10;5;30;20;25;40;20;30;45;20;10;-99997;10;2,0;45;-99997;-99997;-99997;45;-99997;-99997;-99997;-99997;45;30;70;25;-99997;390;10
1013SP;105;45;60;-99997;-99997;10;10;85;70;10;20;95;90;5;-99997;-99997;1,1;105;10;-99997;-99997;95;-99997;-99997;-99997;-99997;105;-99997;100;100;5;229;15
1013SR;90;50;40;10;5;50;20;-99997;40;50;10;45;15;20;-99997;10;1,9;45;25;-99997;-99997;20;-99997;-99997;-99997;-99997;45;50;50;-99997;-99997;626;-99997
1013ST;45;25;20;-99997;5;30;5;-99997;40;40;20;30;15;10;-99997;-99997;1,6;35;10;-99997;-99997;25;-99997;-99997;-99997;-99997;35;30;80;-99997;10;276;-99997
1013SV;100;50;50;15;5;50;20;10;50;30;20;65;40;10;5;10;1,6;65;65;-99997;-99997;-99997;-99997;-99997;-99997;-99997;65;50;50;20;-99997;314;10
1013SW;75;40;35;5;-99997;40;20;10;50;20;20;60;50;10;-99997;-99997;1,3;50;50;-99997;-99997;-99997;-99997;-99997;-99997;-99997;50;40;60;25;-99997;292;15
1013SX;20;10;10;-99997;-99997;15;5;-99997;60;-99997;30;15;10;-99997;-99997;-99997;1,4;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;284;-99997
1013SZ;105;45;65;25;10;35;25;5;30;20;50;55;30;5;10;5;1,9;55;20;-99997;-99997;30;-99997;-99997;-99997;-99997;55;20;80;35;-99997;332;15
1013TA;40;20;20;-99997;-99997;30;5;-99997;50;40;10;30;20;5;-99997;-99997;1,4;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;30;70;5;-99997;370;-99997
1013TB;40;20;20;5;-99997;20;10;-99997;60;30;10;25;15;5;-99997;-99997;1,6;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;40;-99997;-99997;348;-99997
1013TC;35;15;20;5;5;20;-99997;-99997;20;50;30;20;10;5;-99997;-99997;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;309;-99997
1013TD;45;25;20;10;-99997;20;10;5;60;20;20;25;15;-99997;-99997;5;1,8;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;10;-99997;427;-99997
1013TE;45;30;20;-99997;-99997;30;10;-99997;70;30;-99997;30;20;5;-99997;-99997;1,4;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;30;-99997;-99997;334;5
1013TG;50;25;25;5;-99997;30;15;-99997;60;30;20;30;15;10;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;40;5;-99997;440;-99997
1013TH;90;50;45;15;10;40;25;5;50;20;30;55;35;10;5;5;1,6;55;25;-99997;-99997;-99997;30;-99997;-99997;-99997;55;20;80;30;-99997;366;15
1013TJ;75;40;40;10;-99997;35;25;5;30;20;40;55;40;-99997;5;-99997;1,4;60;60;-99997;-99997;-99997;-99997;-99997;-99997;-99997;60;-99997;100;-99997;-99997;320;25
1013TK;60;35;25;5;-99997;30;10;10;20;20;60;40;25;5;-99997;-99997;1,5;40;40;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;-99997;100;-99997;-99997;304;20
1013TL;35;15;20;5;-99997;20;5;-99997;60;30;-99997;20;10;5;-99997;-99997;1,8;20;10;-99997;-99997;-99997;10;-99997;-99997;-99997;20;50;50;-99997;-99997;396;-99997
1013TM;120;60;55;25;-99997;45;20;25;60;20;20;60;25;15;5;10;2,0;55;55;-99997;-99997;-99997;-99997;-99997;-99997;-99997;55;40;60;25;-99997;515;5
1013TN;40;20;15;-99997;5;20;10;-99997;50;20;30;20;10;10;-99997;-99997;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;5;-99997;411;5
1013TP;50;25;25;15;-99997;15;10;-99997;40;30;30;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5
1013TX;10;5;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013VB;180;95;85;25;20;60;50;25;40;20;40;100;55;15;15;15;1,8;95;55;-99997;-99997;-99997;40;-99997;-99997;-99997;95;20;80;70;-99997;398;25
1013VD;15;10;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;40;10;5;-99997;-99997;-99997;1,3;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997
1013VG;20;5;10;-99997;5;5;-99997;-99997;40;-99997;50;10;5;-99997;-99997;-99997;1,6;10;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;434;-99997
1013VH;25;5;15;-99997;5;10;10;-99997;30;30;40;15;10;-99997;-99997;-99997;1,4;15;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;328;-99997
1013VJ;10;5;5;-99997;-99997;-99997;-99997;-99997;50;-99997;40;5;-99997;-99997;-99997;-99997;1,7;10;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;397;-99997
1013VK;10;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;2,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013VL;45;25;20;10;-99997;15;10;5;40;10;50;25;15;5;-99997;-99997;1,8;25;10;-99997;-99997;-99997;15;-99997;-99997;-99997;25;-99997;80;10;-99997;330;5
1013VM;35;20;15;5;-99997;10;15;-99997;60;-99997;40;25;15;-99997;-99997;-99997;1,5;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;337;5
1013VN;30;15;15;-99997;-99997;15;10;-99997;40;50;-99997;20;15;-99997;-99997;-99997;1,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;40;-99997;-99997;268;-99997
1013VP;30;10;20;5;5;10;10;-99997;30;20;50;15;5;-99997;-99997;-99997;2,5;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;10;50;50;5;-99997;403;5
1013VR;25;10;10;10;-99997;10;-99997;5;80;-99997;-99997;10;-99997;-99997;-99997;-99997;2,7;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;408;-99997
1013VS;25;15;10;5;-99997;-99997;5;-99997;30;-99997;50;10;-99997;-99997;-99997;-99997;2,4;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;10;60;-99997;-99997;-99997;-99997;-99997
1013VT;20;10;10;-99997;-99997;5;5;5;40;-99997;50;10;-99997;-99997;-99997;-99997;2,0;10;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;397;-99997
1013VV;115;60;55;15;-99997;50;30;20;60;10;30;80;55;10;-99997;10;1,5;80;80;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;-99997;100;50;-99997;318;20
1013VW;150;75;75;-99997;-99997;-99997;20;125;70;20;10;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25
1013VX;20;10;5;-99997;-99997;10;-99997;-99997;80;-99997;-99997;15;10;-99997;-99997;-99997;1,4;10;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997
1013VZ;30;15;15;-99997;-99997;25;-99997;-99997;60;30;20;30;25;-99997;-99997;-99997;1,1;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;60;40;-99997;-99997;274;-99997
1013WB;60;25;35;15;10;20;15;-99997;40;20;30;25;10;-99997;-99997;10;2,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;40;60;10;-99997;466;5
1013WC;55;25;30;5;10;10;20;5;30;10;60;30;15;-99997;-99997;5;2,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;468;10
1013WD;55;30;30;5;5;20;15;10;30;30;50;30;15;-99997;-99997;5;1,9;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;40;60;15;-99997;396;10
1013WE;15;10;5;-99997;-99997;5;-99997;-99997;60;-99997;-99997;10;5;-99997;-99997;-99997;1,5;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;375;-99997
1013WG;70;40;30;5;-99997;40;10;5;50;20;30;45;25;15;-99997;-99997;1,6;45;45;-99997;-99997;-99997;-99997;-99997;-99997;-99997;45;-99997;90;10;-99997;390;-99997
1013WH;75;40;35;10;-99997;40;15;5;60;20;30;45;25;10;-99997;5;1,7;40;40;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;-99997;100;-99997;-99997;470;10
1013WJ;75;35;40;10;-99997;45;15;-99997;60;30;10;40;20;10;-99997;5;1,8;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;60;40;-99997;-99997;479;5
1013WK;10;5;5;-99997;-99997;-99997;-99997;-99997;70;-99997;-99997;5;-99997;-99997;-99997;-99997;2,2;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;505;-99997
1013WL;15;10;5;5;-99997;-99997;-99997;-99997;70;30;-99997;5;-99997;-99997;-99997;-99997;2,5;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;467;-99997
1013WN;75;30;45;-99997;20;40;10;-99997;60;30;-99997;55;45;10;-99997;-99997;1,3;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;40;60;5;-99997;342;-99997
1013WP;55;25;30;10;10;20;10;5;30;-99997;60;25;15;-99997;-99997;-99997;2,0;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;-99997;382;10
1013WR;30;20;10;-99997;5;10;10;-99997;40;20;30;15;10;-99997;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;387;5
1013WS;50;25;20;10;5;15;15;-99997;30;-99997;70;25;15;-99997;5;-99997;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;413;15
1013WT;35;20;15;10;-99997;10;15;-99997;40;-99997;50;20;15;-99997;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;325;5
1013WV;70;35;35;10;-99997;40;15;-99997;50;20;30;40;25;10;-99997;-99997;1,6;40;40;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;50;50;10;-99997;341;10
1013WZ;10;-99997;5;-99997;-99997;-99997;-99997;5;60;-99997;-99997;5;-99997;-99997;-99997;-99997;1,8;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;386;-99997
1013XA;20;5;10;-99997;-99997;5;-99997;10;60;-99997;40;10;5;-99997;-99997;-99997;1,6;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;481;5
1013XB;25;15;10;-99997;-99997;10;5;-99997;30;-99997;60;15;10;-99997;-99997;-99997;1,7;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;391;5
1013XC;85;45;35;10;-99997;30;40;5;30;20;50;65;50;10;-99997;-99997;1,3;65;65;-99997;-99997;-99997;-99997;-99997;-99997;-99997;65;-99997;100;-99997;-99997;309;30
1013XD;155;70;85;10;20;65;50;15;50;20;30;105;70;15;15;10;1,5;110;55;-99997;-99997;55;-99997;-99997;-99997;-99997;105;-99997;100;25;5;345;25
1013XE;75;40;35;10;-99997;35;20;-99997;50;20;30;45;25;10;5;-99997;1,6;45;45;-99997;-99997;-99997;-99997;-99997;-99997;-99997;45;20;80;35;-99997;364;15
1013XG;35;15;20;-99997;-99997;20;-99997;-99997;50;40;-99997;20;10;10;-99997;-99997;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;10;-99997;395;-99997
1013XH;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013XL;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013XM;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1013XP;25;10;15;10;-99997;10;-99997;-99997;90;-99997;-99997;10;10;-99997;-99997;-99997;1,9;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;80;-99997;-99997;396;-99997
1013XR;10;5;5;-99997;-99997;-99997;-99997;5;70;-99997;-99997;5;-99997;-99997;-99997;-99997;1,4;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;20;328;-99997
1013XS;15;5;10;-99997;-99997;5;5;-99997;60;-99997;-99997;10;-99997;-99997;-99997;-99997;1,9;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;518;-99997
1013XT;100;50;50;15;-99997;45;30;10;60;10;30;60;40;10;-99997;10;1,7;55;55;-99997;-99997;-99997;-99997;-99997;-99997;-99997;50;10;90;45;-99997;374;10
1013XV;50;25;25;5;-99997;20;20;10;70;10;20;30;15;5;-99997;5;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;460;10
1013XW;50;25;25;5;-99997;15;15;5;60;20;20;30;15;5;5;-99997;1,7;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;449;5
1013XX;45;20;20;-99997;10;15;15;-99997;60;10;30;30;20;5;-99997;-99997;1,5;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;475;10
1013XZ;50;20;25;-99997;-99997;20;10;10;50;10;30;25;10;10;5;-99997;1,8;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;508;5
1013ZA;60;25;35;10;-99997;25;15;5;50;20;30;35;20;5;-99997;5;1,8;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;446;5
1013ZB;15;5;10;-99997;-99997;5;5;-99997;50;-99997;40;15;10;-99997;-99997;-99997;1,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;-99997;10
1013ZC;25;10;15;5;-99997;5;5;-99997;40;20;40;15;10;-99997;-99997;-99997;1,7;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;328;10
1013ZD;65;30;35;10;10;20;20;-99997;40;-99997;60;30;15;-99997;10;-99997;2,0;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;-99997;383;15
1013ZE;45;20;25;5;-99997;25;5;-99997;50;-99997;40;20;-99997;5;-99997;5;2,4;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;464;-99997
1013ZG;40;20;20;-99997;-99997;25;10;-99997;40;20;40;20;10;5;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;511;-99997
1013ZH;40;20;20;10;5;15;5;5;50;-99997;50;20;5;-99997;-99997;5;2,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;461;5
1013ZJ;30;15;15;-99997;5;10;10;5;30;20;50;15;5;5;-99997;-99997;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;425;-99997
1013ZK;65;30;35;15;5;20;20;10;40;10;50;30;15;-99997;-99997;5;1,9;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;100;-99997;-99997;420;5
1013ZL;20;10;10;-99997;-99997;10;-99997;-99997;60;-99997;-99997;15;10;-99997;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;410;5
1013ZM;70;40;30;15;-99997;35;15;5;60;20;30;35;15;10;-99997;5;1,9;30;10;-99997;-99997;-99997;-99997;-99997;20;-99997;30;50;50;15;-99997;499;5
1013ZN;50;25;25;5;-99997;25;10;-99997;60;20;20;25;10;10;-99997;5;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;461;-99997
1013ZP;40;20;20;-99997;-99997;25;5;-99997;60;30;20;25;15;5;-99997;5;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;491;-99997
1013ZR;50;20;25;5;5;15;15;5;30;30;40;20;5;5;5;-99997;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;422;10
1013ZS;65;35;30;15;-99997;40;10;-99997;60;20;20;30;10;5;-99997;10;2,2;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;442;-99997
1013ZT;65;35;25;5;-99997;50;-99997;-99997;70;20;10;35;10;15;-99997;5;1,9;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;100;-99997;-99997;515;-99997
1013ZV;20;15;5;-99997;-99997;-99997;10;-99997;60;-99997;40;15;15;-99997;-99997;-99997;1,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;330;-99997
1013ZW;70;35;30;5;10;30;15;5;30;20;40;40;20;10;-99997;5;1,8;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;20;80;20;-99997;453;-99997
1013ZX;50;20;30;-99997;-99997;20;15;-99997;50;20;40;30;20;5;-99997;-99997;1,5;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;40;60;15;-99997;443;-99997
1013ZZ;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AA;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AC;10;-99997;5;-99997;-99997;-99997;-99997;-99997;80;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AD;40;25;15;-99997;-99997;10;15;10;80;-99997;-99997;25;15;10;-99997;-99997;1,6;20;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;40;60;10;-99997;579;-99997
1014AE;35;15;20;10;-99997;15;-99997;5;80;20;-99997;15;10;-99997;-99997;5;2,2;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;60;40;-99997;-99997;601;-99997
1014AG;240;135;110;20;5;190;20;-99997;60;20;10;135;50;65;-99997;15;1,8;135;-99997;-99997;-99997;-99997;-99997;135;-99997;-99997;135;-99997;100;-99997;5;445;10
1014AH;10;5;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;1,5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AJ;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AK;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AM;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AN;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AP;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;5;-99997;-99997;-99997;1,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AR;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AS;10;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1014AT;55;40;15;-99997;10;15;30;-99997;60;-99997;40;35;35;-99997;-99997;-99997;1,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35
