,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
210,KNSM-eiland,136.0,0.0,124752.67353372242,487774.2038398184,4.943001256478599,52.37700370758755,655.0,762.0,1851.0,139.0,1662.0,0,1461,1310,136,0,0,1,1,1,3
211,Kadijken,45.0,2.0,122956.81220662869,486854.3476193682,4.916716236235112,52.36863481027447,743.0,862.0,1939.0,932.0,4573.0,73,1917,1672,40,0,1,1,1,1,4
212,Kadoelen,23.0,3.0,122077.73039938713,492228.6746067416,4.903282167180797,52.41688330941778,1231.0,1429.0,2818.0,112.0,1563.0,353,955,825,21,1,1,0,1,1,4
213,Kalverdriehoek,3.0,0.0,121219.5624470339,486784.65000847453,4.891216263029661,52.36790434292373,688.0,799.0,1763.0,8135.0,54025.0,21,427,206,0,1,1,0,0,0,2
214,Kantershof,1.0,2.0,127755.87141350601,481263.7087761332,4.987631208288621,52.31864833316374,720.0,837.0,2385.0,58.0,556.0,982,709,1061,0,0,1,1,0,0,2
215,Kattenburg,0.0,1.0,123156.88160762607,487290.8042865929,4.919612514428044,52.37256904131612,1029.0,1196.0,2027.0,0.0,600.0,726,813,778,0,1,1,0,0,0,2
216,Kazernebuurt,1.0,0.0,123420.77308571429,486499.3812587302,4.923561744523809,52.36547151065079,837.0,975.0,1936.0,136.0,5593.0,46,627,575,0,0,1,0,0,0,1
217,Kelbergen,0.0,0.0,126790.10459183673,480497.0663265306,4.973531427066327,52.3117094769898,1127.0,1311.0,2663.0,0.0,0.0,391,392,381,0,1,1,0,0,0,2
218,Kolenkitbuurt Noord,40.0,4.0,117854.89046713852,488210.2027977755,4.84165827487361,52.38049884793226,477.0,555.0,2131.0,0.0,1286.0,64,1125,1827,38,0,1,1,1,1,4
219,Kolenkitbuurt Zuid,2.0,0.0,117753.5373485114,487841.0676567426,4.840210689518389,52.37717448114711,229.0,266.0,1927.0,49.0,1504.0,210,376,1067,0,0,1,1,0,0,2
220,Koningin Wilhelminaplein,4.0,0.0,117628.86919497541,485261.65421245224,4.8386666294374665,52.3539841940852,339.0,394.0,1944.0,0.0,4399.0,360,788,1647,4,0,1,1,1,1,4
221,Kop Zeedijk,20.0,0.0,121824.74036098021,487631.55415645614,4.900018014693686,52.375552611526864,791.0,918.0,1695.0,3402.0,17082.0,19,1035,743,10,0,1,0,1,1,3
222,Kop Zuidas,3.0,3.0,121416.39653823954,483458.6642539683,4.8944382095526695,52.3380246879365,611.0,710.0,2028.0,1.0,15451.0,1,681,647,3,0,0,0,1,1,2
223,Kortenaerkwartier,7.0,2.0,119184.53497132928,487028.72278801043,4.861311724682885,52.36996894441356,872.0,1013.0,2033.0,241.0,1877.0,11,1150,1081,2,0,1,1,1,1,4
224,Kortvoort,0.0,0.0,126512.40671477663,481027.4787429553,4.969414517319588,52.31646223828179,919.0,1067.0,1805.0,0.0,0.0,220,1392,1336,0,0,1,1,0,0,2
225,Kromme Mijdrechtbuurt,18.0,1.0,122380.663531781,484242.4068017621,4.908510310805538,52.34512652481435,848.0,985.0,1770.0,192.0,3734.0,6,1589,1492,16,0,0,1,1,1,3
226,L-buurt,2.0,0.0,127233.7791117717,480100.10315041617,4.980070086189061,52.30816432005351,1083.0,1257.0,2019.0,84.0,226.0,0,1676,1647,0,1,0,1,0,0,2
227,Laan van Spartaan,0.0,1.0,117643.90360966306,487502.09677622374,4.8386384073363,52.374120620845524,1.0,2.0,1998.0,0.0,11546.0,0,2,1536,0,0,0,1,0,0,1
228,Landelijk gebied Driemond,2.0,1.0,129481.7419375,480285.27931250003,5.013016810208334,52.30993726916666,1170.0,1356.0,3326.0,0.0,5785.0,1,45,45,2,1,0,0,1,1,3
229,Landlust Noord,2.0,0.0,118935.06380757342,488227.4422642967,4.857520144729521,52.38072580632148,709.0,824.0,1710.0,240.0,2269.0,0,1294,1229,2,0,0,1,1,1,3
230,Landlust Zuid,8.0,1.0,119104.39789851269,487823.21729133854,4.860050230485564,52.377104035100615,741.0,860.0,1742.0,115.0,1268.0,0,2286,2201,2,0,0,1,1,1,3
231,Langestraat e.o.,36.0,0.0,121153.92514473684,487934.6185692521,4.890136755844875,52.378235389127425,1179.0,1368.0,2379.0,1368.0,6177.0,49,1444,1230,30,1,1,1,1,1,5
232,Lastage,36.0,2.0,122029.53295119049,487412.78430357145,4.9030467815595244,52.37359879804762,978.0,1134.0,1857.0,584.0,3551.0,11,828,651,29,0,1,0,1,1,3
233,Legmeerpleinbuurt,6.0,1.0,118501.44864015905,485150.0455029821,4.851486019433399,52.35303981029821,936.0,1087.0,2092.0,82.0,4350.0,29,1006,954,2,0,1,0,1,1,3
234,Leidsebuurt Noordoost,12.0,1.0,120815.507777668,486280.0041916996,4.88533516423913,52.36334394027668,906.0,1052.0,1940.0,3528.0,22802.0,87,1012,736,4,0,1,0,1,1,3
