,buurtnaam,before_1940,1940-1959,1960-1979,1980-1999,after_2000
134,Elzenhagen Noord,0,0,0,359,1258
135,Elzenhagen Zuid,0,0,1,2,1731
136,Emanuel van Meterenbuurt,3,978,121,58,11
137,Entrepot-Noordwest,4,0,0,689,343
138,Erasmusparkbuurt Oost,603,125,1,15,162
139,Erasmusparkbuurt West,427,1583,6,1,273
140,F-buurt,0,0,454,1,1611
141,Fannius Scholtenbuurt,1920,0,47,411,80
142,Felix Meritisbuurt,1727,64,36,78,20
143,Filips van Almondekwartier,521,0,0,0,132
144,Flevopark,3,0,2,8,3
145,Frankendael,10,1,2,4,5
146,Frans Halsbuurt,1786,0,0,58,31
147,Frederik Hendrikbuurt Noord,1961,1,0,401,32
148,Frederik Hendrikbuurt Zuidoost,1845,0,2,153,187
149,Frederik Hendrikbuurt Zuidwest,153,0,0,571,102
150,Frederikspleinbuurt,507,1,20,103,44
151,G-buurt Noord,0,0,965,3,1
152,G-buurt Oost,1,0,1527,198,15
153,G-buurt West,1,0,2,1059,551
154,Gaasperdam Noord,11,0,0,988,24
155,Gaasperdam Zuid,0,0,0,920,2
156,Gaasperpark,3,3,0,5,1
157,Gaasperplas,13,4,8,1,3
158,Gein Noordoost,0,0,0,1262,1
159,Gein Noordwest,7,0,0,1608,5
160,Gein Zuidoost,1,0,0,1561,0
161,Gein Zuidwest,18,0,0,744,0
162,Gelderlandpleinbuurt,0,0,2760,393,207
163,Gerard Doubuurt,1066,0,1,382,37
164,Geuzenhofbuurt,853,213,0,0,30
165,Gibraltarbuurt,2258,146,0,2,3
166,Gooise Kant,0,0,0,0,306
167,Gouden Bocht,164,0,17,0,8
168,Groenmarktkadebuurt,171,0,4,17,46
169,Grunder/Koningshoef,0,0,0,0,653
170,Haarlemmerbuurt Oost,909,47,6,297,14
171,Haarlemmerbuurt West,1007,46,47,606,111
172,Hakfort/Huigenbos,0,0,843,322,1
173,Harmoniehofbuurt,913,2,0,0,0
174,Haveneiland Noord,0,0,0,0,1239
175,Haveneiland Noordoost,0,0,0,0,2500
176,Haveneiland Noordwest,0,0,0,0,1563
177,Haveneiland Oost,0,0,0,0,2300
178,Haveneiland Zuidwest/Rieteiland West,0,0,0,0,1035
179,Helmersbuurt Oost,1432,26,68,24,14
180,Hemelrijk,551,12,24,27,6
181,Hemonybuurt,1616,0,7,56,17
182,Hercules Seghersbuurt,1357,0,50,405,49
183,Het Funen,1,12,0,9,594
184,Hiltonbuurt,39,1,5,5,1
185,Hoge Dijk,3,0,0,3,19
186,Holendrecht Oost,1,0,0,1094,4
187,Holendrecht West,0,0,1416,2,5
188,Holysloot,24,0,18,48,62
189,Hondecoeterbuurt,1135,0,0,28,22
190,Hoofdcentrum Zuidoost,0,0,0,11,355
191,Hoptille,0,0,0,1236,1
192,Houthavens Oost,133,101,0,0,158
193,Houthavens West,1,0,0,0,2312
194,Huntum,14,0,1,117,4
195,IJplein e.o.,2,0,0,1438,5
196,IJsbaanpad e.o.,2,0,17,29,31
197,IJselbuurt Oost,1392,3,0,38,164
198,IJselbuurt West,1492,0,0,68,0
199,Jacob Geelbuurt,0,1407,110,8,79
200,Jacques Veltmanbuurt,0,1029,203,171,875
201,Jan Maijenbuurt,1338,0,0,42,0
202,Java-eiland,25,0,0,1387,239
203,Johan Jongkindbuurt,0,0,393,0,12
204,Johannnes Vermeerbuurt,802,9,2,20,102
205,John Franklinbuurt,1162,0,0,19,0
206,Julianapark,19,0,0,444,467
207,K-buurt Midden,0,0,633,10,627
208,K-buurt Zuidoost,0,0,0,0,459
209,K-buurt Zuidwest,0,0,0,0,505
210,KNSM-eiland,271,0,0,1212,54
211,Kadijken,1024,16,66,640,148
212,Kadoelen,227,330,32,139,214
213,Kalverdriehoek,372,0,22,74,6
214,Kantershof,2,0,982,3,92
