,Wijken en buurten,Bouwjaar voor 2000,Bouwjaar vanaf 2000
216,Woon- en Groengebied Sloterdijk,18,82
217,Bedrijventerrein Sloterdijk I,.,.
219,Bedrijventerrein Landlust,100,0
220,Bosleeuw,94,6
221,Landlust Zuid,100,0
222,Erasmusparkbuurt Oost,81,19
223,Gibraltarbuurt,100,0
224,Landlust Noord,98,2
226,Erasmusparkbuurt West,89,11
227,Robert Scottbuurt Oost,99,1
229,Robert Scottbuurt West,85,15
230,Laan van Spartaan,0,100
231,Kolenkitbuurt Zuid,31,69
232,Kolenkitbuurt Noord,56,44
234,Geuzenhofbuurt,97,3
235,Trompbuurt,100,0
236,Pieter van der Doesbuurt,97,3
238,John Franklinbuurt,100,0
239,Jan Maijenbuurt,100,0
240,Orteliusbuurt Noord,100,0
241,Mercatorpark,.,.
243,Balboaplein e.o.,94,6
244,Columbusplein e.o.,100,0
245,Orteliusbuurt Midden,100,0
246,Orteliusbuurt Zuid,100,0
248,Paramariboplein e.o.,100,0
249,Postjeskade e.o.,100,0
251,Surinamepleinbuurt,98,2
252,Westlandgrachtbuurt,99,1
253,Aalsmeerwegbuurt West,100,0
254,Aalsmeerwegbuurt Oost,99,1
255,Legmeerpleinbuurt,96,4
256,Bedrijventerrein Schinkel,.,.
258,Schinkelbuurt Noord,94,6
259,Schinkelbuurt Zuid,89,11
261,Valeriusbuurt Oost,100,0
262,Valeriusbuurt West,100,0
263,Willemsparkbuurt Noord,100,0
264,Vondelpark West,.,.
266,Johannnes Vermeerbuurt,91,9
267,P.C. Hooftbuurt,99,1
268,Concertgebouwbuurt,98,2
269,Cornelis Schuytbuurt,100,0
270,Banpleinbuurt,99,1
271,Hondecoeterbuurt,100,0
272,Harmoniehofbuurt,100,0
273,Museumplein,.,.
274,Vondelpark Oost,.,.
275,Duivelseiland,100,0
277,Bertelmanpleinbuurt,100,0
278,Marathonbuurt Oost,100,0
279,Marathonbuurt West,100,0
280,Olympisch Stadion e.o.,11,89
281,IJsbaanpad e.o.,.,.
282,Van Tuyllbuurt,100,0
284,Diepenbrockbuurt,99,1
285,Beethovenbuurt,100,0
286,Hiltonbuurt,100,0
287,Minervabuurt Noord,100,0
288,Minervabuurt Midden,100,0
289,Minervabuurt Zuid,100,0
291,Strandeiland,.,.
292,Middeneiland Zuidoost,.,.
293,Middeneiland Zuidwest,.,.
294,Buiteneiland,.,.
295,Centrumeiland,.,.
297,Rieteiland Oost,0,100
298,Haveneiland Oost,0,100
299,Haveneiland Noord,0,100
301,Wielingenbuurt,100,0
302,Scheldebuurt West,100,0
303,Scheldebuurt Midden,100,0
304,Scheldebuurt Oost,100,0
305,Veluwebuurt,81,19
306,Kop Zuidas,0,100
308,IJselbuurt West,100,0
309,IJselbuurt Oost,89,11
311,Kromme Mijdrechtbuurt,98,2
312,Rijnbuurt Oost,99,1
313,Rijnbuurt Midden,100,0
314,Rijnbuurt West,96,4
315,Zorgvlied,.,.
317,De Eenhoorn,53,47
318,Julianapark,69,31
319,Don Bosco,99,1
321,Tuindorp Amstelstation,100,0
322,De Wetbuurt,100,0
323,Tuindorp Frankendael,79,21
324,Van der Kunbuurt,100,0
326,Linnaeusparkbuurt,100,0
327,Middenmeer Noord,100,0
328,Middenmeer Zuid,100,0
329,Sportpark Middenmeer Zuid,100,0
330,Sportpark Middenmeer Noord,0,100
331,Park de Meer,0,100
332,Sportpark Voorland,.,.
333,Science Park Noord,0,100
334,Science Park Zuid,1,99
337,Nieuwe Oosterbegraafplaats,.,.
