,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
315538,316631,verblijfsobject,23,,,363200000147071.0,363010000685283.0,52.3510677,4.90453497,122114.0,484905.0,51,woonfunctie,14919
315539,316632,verblijfsobject,25,,,363200000147076.0,363010000685288.0,52.3510139,4.90456491,122116.0,484899.0,97,woonfunctie,14919
315540,316633,verblijfsobject,27,,,363200000147081.0,363010000685293.0,52.35096902,4.90458007,122117.0,484894.0,96,woonfunctie,14919
315541,316634,verblijfsobject,29,,,363200000147086.0,363010000685298.0,52.35093331,4.90463917,122121.0,484890.0,97,woonfunctie,14919
315542,316635,verblijfsobject,31,,,363200000147091.0,363010000685304.0,52.35088843,4.90465434,122122.0,484885.0,97,woonfunctie,14919
315543,316636,verblijfsobject,33,,,363200000147096.0,363010000685309.0,52.35083451,4.90465492,122122.0,484879.0,99,woonfunctie,14919
315544,316637,verblijfsobject,35,,,363200000147101.0,363010000685314.0,52.35079868,4.90468467,122124.0,484875.0,97,woonfunctie,14919
315545,316638,verblijfsobject,37,,,363200000147106.0,363010000685315.0,52.35074494,4.90472928,122127.0,484869.0,51,woonfunctie,14919
315546,316639,verblijfsobject,39,,,363200000147110.0,363010000685316.0,52.35074488,4.9047146,122126.0,484869.0,48,woonfunctie,14919
315547,316640,verblijfsobject,41,,,363200000147112.0,363010000685317.0,52.35074482,4.90469993,122125.0,484869.0,51,woonfunctie,14919
315548,316641,verblijfsobject,43,,,363200000147117.0,363010000685322.0,52.3506731,4.90474474,122128.0,484861.0,43,woonfunctie,14920
315549,316642,verblijfsobject,45,,,363200000147122.0,363010000685335.0,52.35070012,4.90475912,122129.0,484864.0,51,woonfunctie,14920
315550,316643,verblijfsobject,47,,,363200000147127.0,363010000685340.0,52.35068208,4.90474464,122128.0,484862.0,50,woonfunctie,14920
315551,316644,verblijfsobject,49,,,363200000147132.0,363010000685345.0,52.35059251,4.904819,122133.0,484852.0,43,woonfunctie,14920
315552,316645,verblijfsobject,51,,,363200000147137.0,363010000685350.0,52.35059233,4.90477497,122130.0,484852.0,51,woonfunctie,14920
315553,316646,verblijfsobject,53,,,363200000147142.0,363010000685355.0,52.35057459,4.90483387,122134.0,484850.0,50,woonfunctie,14920
315554,316647,verblijfsobject,55,,,363200000147147.0,363010000685360.0,52.3505293,4.9047463,122128.0,484845.0,46,woonfunctie,14920
315555,316648,verblijfsobject,57,,,363200000147152.0,363010000685365.0,52.35049347,4.90477605,122130.0,484841.0,95,woonfunctie,14920
315556,316649,verblijfsobject,59,,,363200000147157.0,363010000685370.0,52.35045764,4.90480579,122132.0,484837.0,46,woonfunctie,14920
315557,316650,verblijfsobject,61,,,363200000147162.0,363010000685375.0,52.35042157,4.90477683,122130.0,484833.0,95,woonfunctie,14920
315558,316651,verblijfsobject,63,,,363200000147167.0,363010000685380.0,52.35037675,4.90480667,122132.0,484828.0,46,woonfunctie,14920
315559,316652,verblijfsobject,65,,,363200000147172.0,363010000685385.0,52.35037675,4.90480667,122132.0,484828.0,46,woonfunctie,14920
315560,316653,verblijfsobject,67,,,363200000147177.0,363010000685390.0,52.35038598,4.90486528,122136.0,484829.0,46,woonfunctie,14920
315561,316654,verblijfsobject,69,,,363200000147182.0,363010000685395.0,52.35032307,4.90486596,122136.0,484822.0,46,woonfunctie,14920
315562,316655,verblijfsobject,71,,,363200000147187.0,363010000685400.0,52.350287,4.904837,122134.0,484818.0,95,woonfunctie,14920
315563,316656,verblijfsobject,73,,,363200000147192.0,363010000685405.0,52.35026926,4.9048959,122138.0,484816.0,48,woonfunctie,14920
315564,316657,verblijfsobject,75,,,363200000147193.0,363010000685406.0,52.35024212,4.90485216,122135.0,484813.0,48,woonfunctie,14920
315565,316658,verblijfsobject,77,,,363200000147194.0,363010000685407.0,52.35024212,4.90485216,122135.0,484813.0,48,woonfunctie,14920
315566,316659,verblijfsobject,79,,,363200000147195.0,363010000685408.0,52.35019754,4.90494071,122141.0,484808.0,48,woonfunctie,14920
315567,316660,verblijfsobject,81,,,363200000147196.0,363010000685409.0,52.35017933,4.9048822,122137.0,484806.0,48,woonfunctie,14920
315568,316661,verblijfsobject,83,,,363200000147197.0,363010000685410.0,52.35017933,4.9048822,122137.0,484806.0,48,woonfunctie,14920
315569,316662,verblijfsobject,85,,,363200000147198.0,363010000685411.0,52.35013457,4.90492672,122140.0,484801.0,48,woonfunctie,14920
315570,316663,verblijfsobject,87,,,363200000147199.0,363010000685412.0,52.35009856,4.90491243,122139.0,484797.0,93,woonfunctie,14920
315571,316664,verblijfsobject,89,,,363200000147200.0,363010000685413.0,52.35006297,4.90500088,122145.0,484793.0,60,woonfunctie,14920
315572,316665,verblijfsobject,91,,,363200000147201.0,363010000685414.0,52.3500447,4.90492769,122140.0,484791.0,60,woonfunctie,14920
315573,316666,verblijfsobject,93,,,363200000147202.0,363010000685415.0,52.3500447,4.90492769,122140.0,484791.0,60,woonfunctie,14920
315630,316723,verblijfsobject,26,,1,363200000147078.0,363010000685290.0,52.35107579,4.90431472,122099.0,484906.0,50,woonfunctie,14922
315631,316724,verblijfsobject,26,,2,363200000147079.0,363010000685291.0,52.35107579,4.90431472,122099.0,484906.0,50,woonfunctie,14922
315632,316725,verblijfsobject,26,,3,363200000147080.0,363010000685292.0,52.35107579,4.90431472,122099.0,484906.0,50,woonfunctie,14922
315633,316726,verblijfsobject,26,,H,363200000147077.0,363010000685289.0,52.35107579,4.90431472,122099.0,484906.0,51,woonfunctie,14922
315634,316727,verblijfsobject,28,,1,363200000147083.0,363010000685295.0,52.35102193,4.90432998,122100.0,484900.0,50,woonfunctie,14923
315635,316728,verblijfsobject,28,,2,363200000147084.0,363010000685296.0,52.35102193,4.90432998,122100.0,484900.0,50,woonfunctie,14923
315636,316729,verblijfsobject,28,,3,363200000147085.0,363010000685297.0,52.35102193,4.90432998,122100.0,484900.0,50,woonfunctie,14923
315637,316730,verblijfsobject,28,,H,363200000147082.0,363010000685294.0,52.35102193,4.90432998,122100.0,484900.0,51,woonfunctie,14923
315638,316731,verblijfsobject,30,,1,363200000147088.0,363010000685300.0,52.35096806,4.90434525,122101.0,484894.0,50,woonfunctie,14923
315639,316732,verblijfsobject,30,,2,363200000147089.0,363010000685302.0,52.35096806,4.90434525,122101.0,484894.0,50,woonfunctie,14923
315640,316733,verblijfsobject,30,,3,363200000147090.0,363010000685303.0,52.35096806,4.90434525,122101.0,484894.0,50,woonfunctie,14923
315641,316734,verblijfsobject,30,,H,363200000147087.0,363010000685299.0,52.35096806,4.90434525,122101.0,484894.0,51,woonfunctie,14923
315642,316735,verblijfsobject,32,,1,363200000147093.0,363010000685306.0,52.35091426,4.90437519,122103.0,484888.0,49,woonfunctie,14923
315643,316736,verblijfsobject,32,,2,363200000147094.0,363010000685307.0,52.35091426,4.90437519,122103.0,484888.0,51,woonfunctie,14923
315644,316737,verblijfsobject,32,,3,363200000147095.0,363010000685308.0,52.35091426,4.90437519,122103.0,484888.0,50,woonfunctie,14923
315645,316738,verblijfsobject,32,,H,363200000147092.0,363010000685305.0,52.35091426,4.90437519,122103.0,484888.0,51,woonfunctie,14923
315646,316739,verblijfsobject,34,,1,363200000147098.0,363010000685311.0,52.35086039,4.90439045,122104.0,484882.0,47,woonfunctie,14923
315647,316740,verblijfsobject,34,,2,363200000147099.0,363010000685312.0,52.35086039,4.90439045,122104.0,484882.0,46,woonfunctie,14923
315648,316741,verblijfsobject,34,,3,363200000147100.0,363010000685313.0,52.35086039,4.90439045,122104.0,484882.0,47,woonfunctie,14923
