,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
306391,307477,verblijfsobject,93,,1,363200000191405.0,363010000730483.0,52.35096638,4.89737357,121626.0,484897.0,49,woonfunctie,14548
306392,307478,verblijfsobject,93,,2,363200000191406.0,363010000730484.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306393,307479,verblijfsobject,93,,3,363200000191407.0,363010000730485.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306394,307480,verblijfsobject,93,,H,363200000191404.0,363010000730482.0,52.35096638,4.89737357,121626.0,484897.0,53,woonfunctie,14548
306395,307481,verblijfsobject,95,,1,363200000191410.0,363010000730489.0,52.35098478,4.89747611,121633.0,484899.0,51,woonfunctie,14548
306396,307482,verblijfsobject,95,,2,363200000191411.0,363010000730490.0,52.35098478,4.89747611,121633.0,484899.0,55,woonfunctie,14548
306397,307483,verblijfsobject,95,,3,363200000191412.0,363010000730491.0,52.35098478,4.89747611,121633.0,484899.0,53,woonfunctie,14548
306398,307484,verblijfsobject,95,,H,363200000191409.0,363010000730487.0,52.35098478,4.89747611,121633.0,484899.0,53,woonfunctie,14548
306399,307485,verblijfsobject,97,,1,363200000191418.0,363010000730497.0,52.35099413,4.89756407,121639.0,484900.0,51,woonfunctie,14548
306400,307486,verblijfsobject,97,,2,363200000191419.0,363010000730498.0,52.35099413,4.89756407,121639.0,484900.0,55,woonfunctie,14548
306401,307487,verblijfsobject,97,,3,363200000191420.0,363010000730499.0,52.35099413,4.89756407,121639.0,484900.0,53,woonfunctie,14548
306402,307488,verblijfsobject,97,,H,363200000191417.0,363010000730496.0,52.35099413,4.89756407,121639.0,484900.0,50,woonfunctie,14548
306403,307489,verblijfsobject,99,,,363200000191422.0,363010000730501.0,52.35100354,4.89766671,121646.0,484901.0,87,bijeenkomstfunctie,14548
306589,307675,verblijfsobject,118,A,,363200000191470.0,363010000730542.0,52.35078657,4.89736088,121625.0,484877.0,57,woonfunctie,14556
306590,307676,verblijfsobject,118,B,,363200000191471.0,363010000730543.0,52.35077759,4.89736098,121625.0,484876.0,53,woonfunctie,14556
306592,307678,verblijfsobject,118,D,,363200000191473.0,363010000730545.0,52.35076854,4.8973464,121624.0,484875.0,54,woonfunctie,14556
306593,307679,verblijfsobject,120,,,363200000191478.0,363010000730546.0,52.35077783,4.89741969,121629.0,484876.0,61,woonfunctie,14556
306594,307680,verblijfsobject,122,,,363200000191483.0,363010000730553.0,52.35077783,4.89741969,121629.0,484876.0,111,woonfunctie,14556
306595,307681,verblijfsobject,124,A,,363200000191488.0,363010000730557.0,52.35080522,4.89752212,121636.0,484879.0,73,woonfunctie,14556
306596,307682,verblijfsobject,124,B,,363200000191489.0,363010000730558.0,52.35080522,4.89752212,121636.0,484879.0,95,woonfunctie,14556
306597,307683,verblijfsobject,126,,,363200000191494.0,363010000730560.0,52.35081439,4.89756605,121639.0,484880.0,63,woonfunctie,14556
306598,307684,verblijfsobject,128,A,,363200000191499.0,363010000730562.0,52.35082368,4.89763934,121644.0,484881.0,50,woonfunctie,14556
306599,307685,verblijfsobject,128,B,,363200000191500.0,363010000730563.0,52.35082368,4.89763934,121644.0,484881.0,59,woonfunctie,14556
306600,307686,verblijfsobject,128,C,,363200000191501.0,363010000730564.0,52.35082368,4.89763934,121644.0,484881.0,52,woonfunctie,14556
306601,307687,verblijfsobject,130,,,363200000191506.0,363010000730569.0,52.35082398,4.89771272,121649.0,484881.0,105,woonfunctie,14556
306602,307688,verblijfsobject,134,,,363200000191516.0,363010000730578.0,52.35103651,4.89911939,121745.0,484904.0,46,"woonfunctie,kantoorfunctie",14557
306603,307689,verblijfsobject,134,A,1,363200000191517.0,363010000730579.0,52.35102764,4.89914885,121747.0,484903.0,64,woonfunctie,14557
306604,307690,verblijfsobject,134,A,2,363200000191518.0,363010000730580.0,52.35102764,4.89914885,121747.0,484903.0,64,woonfunctie,14557
306605,307691,verblijfsobject,134,A,3,363200000191519.0,363010000730581.0,52.35102764,4.89914885,121747.0,484903.0,64,woonfunctie,14557
306606,307692,verblijfsobject,134,B,1,363200000191521.0,363010000730583.0,52.35104598,4.89923671,121753.0,484905.0,64,woonfunctie,14557
306607,307693,verblijfsobject,134,B,2,363200000191522.0,363010000730584.0,52.35104598,4.89923671,121753.0,484905.0,64,woonfunctie,14557
306608,307694,verblijfsobject,134,B,3,363200000191523.0,363010000730585.0,52.35104598,4.89923671,121753.0,484905.0,64,woonfunctie,14557
306609,307695,verblijfsobject,134,B,H,363200000191520.0,363010000730582.0,52.35104598,4.89923671,121753.0,484905.0,61,woonfunctie,14557
306994,308080,verblijfsobject,111,,,363200000330656.0,363010000872520.0,52.35049965,4.89752549,121636.0,484845.0,63,woonfunctie,14573
306995,308081,verblijfsobject,113,,,363200000330657.0,363010000872521.0,52.35049029,4.89743754,121630.0,484844.0,57,woonfunctie,14573
306996,308082,verblijfsobject,115,,,363200000330658.0,363010000872522.0,52.35048137,4.89745231,121631.0,484843.0,53,woonfunctie,14573
306997,308083,verblijfsobject,117,,,363200000330659.0,363010000872523.0,52.35049054,4.89749624,121634.0,484844.0,60,woonfunctie,14573
306998,308084,verblijfsobject,119,,,363200000330660.0,363010000872524.0,52.35048173,4.89754037,121637.0,484843.0,54,woonfunctie,14573
306999,308085,verblijfsobject,121,,,363200000330661.0,363010000872525.0,52.3504637,4.89752589,121636.0,484841.0,61,woonfunctie,14573
307000,308086,verblijfsobject,123,,,363200000330662.0,363010000872526.0,52.35047287,4.89756982,121639.0,484842.0,111,woonfunctie,14573
307001,308087,verblijfsobject,125,,,363200000330663.0,363010000872527.0,52.35052709,4.89764261,121644.0,484848.0,73,woonfunctie,14573
307002,308088,verblijfsobject,127,,,363200000330664.0,363010000872528.0,52.35050906,4.89762813,121643.0,484846.0,95,woonfunctie,14573
307003,308089,verblijfsobject,129,,,363200000330665.0,363010000872529.0,52.35049108,4.89762833,121643.0,484844.0,63,woonfunctie,14573
307004,308090,verblijfsobject,131,,,363200000330666.0,363010000872530.0,52.35049163,4.89776042,121652.0,484844.0,50,woonfunctie,14573
307005,308091,verblijfsobject,133,,,363200000330667.0,363010000872531.0,52.35049163,4.89776042,121652.0,484844.0,59,woonfunctie,14573
307006,308092,verblijfsobject,135,,,363200000330668.0,363010000872532.0,52.35049163,4.89776042,121652.0,484844.0,52,woonfunctie,14573
307007,308093,verblijfsobject,137,,,363200000330669.0,363010000872533.0,52.35050997,4.89784828,121658.0,484846.0,105,woonfunctie,14573
307008,308094,verblijfsobject,139,,,363200000330670.0,363010000872534.0,52.35051027,4.89792166,121663.0,484846.0,73,bijeenkomstfunctie,14573
307045,308131,verblijfsobject,26,A,,363200000330596.0,363010000872460.0,52.35019383,4.89747016,121632.0,484811.0,84,woonfunctie,14575
307046,308132,verblijfsobject,26,B,,363200000330597.0,363010000872461.0,52.35017592,4.89748504,121633.0,484809.0,85,woonfunctie,14575
307047,308133,verblijfsobject,26,C,,363200000330598.0,363010000872462.0,52.35014896,4.89748533,121633.0,484806.0,97,woonfunctie,14575
307048,308134,verblijfsobject,28,A,,363200000330600.0,363010000872464.0,52.3501942,4.89755822,121638.0,484811.0,44,woonfunctie,14575
307049,308135,verblijfsobject,28,B,,363200000330601.0,363010000872465.0,52.35019426,4.89757289,121639.0,484811.0,48,woonfunctie,14575
307050,308136,verblijfsobject,28,C,,363200000330602.0,363010000872466.0,52.3501673,4.89757319,121639.0,484808.0,68,woonfunctie,14575
307051,308137,verblijfsobject,30,A,,363200000330604.0,363010000872468.0,52.3502126,4.89766075,121645.0,484813.0,43,woonfunctie,14575
307052,308138,verblijfsobject,30,B,,363200000330605.0,363010000872469.0,52.3501857,4.89767573,121646.0,484810.0,49,woonfunctie,14575
307053,308139,verblijfsobject,30,C,,363200000330606.0,363010000872470.0,52.35016778,4.8976906,121647.0,484808.0,71,woonfunctie,14575
307054,308140,verblijfsobject,32,A,,363200000330608.0,363010000872472.0,52.350231,4.89776329,121652.0,484815.0,44,woonfunctie,14575
307055,308141,verblijfsobject,32,B,,363200000330609.0,363010000872473.0,52.35020404,4.89776359,121652.0,484812.0,50,woonfunctie,14575
307056,308142,verblijfsobject,32,C,,363200000330610.0,363010000872474.0,52.35017713,4.89777856,121653.0,484809.0,68,woonfunctie,14575
307057,308143,verblijfsobject,34,A,,363200000330612.0,363010000872476.0,52.35023142,4.89786603,121659.0,484815.0,44,woonfunctie,14575
307058,308144,verblijfsobject,34,B,,363200000330613.0,363010000872477.0,52.35020452,4.897881,121660.0,484812.0,48,woonfunctie,14575
307059,308145,verblijfsobject,34,C,,363200000330614.0,363010000872478.0,52.35018655,4.8978812,121660.0,484810.0,68,woonfunctie,14575
307060,308146,verblijfsobject,36,A,,363200000330616.0,363010000872480.0,52.35025887,4.89798314,121667.0,484818.0,70,woonfunctie,14575
307061,308147,verblijfsobject,36,B,,363200000330617.0,363010000872481.0,52.35022298,4.89799821,121668.0,484814.0,80,woonfunctie,14575
307062,308148,verblijfsobject,36,C,,363200000330618.0,363010000872482.0,52.35025006,4.89802727,121670.0,484817.0,87,woonfunctie,14575
307201,308287,verblijfsobject,21,,1,363200000238766.0,363010000778857.0,52.34898036,4.89743952,121629.0,484676.0,50,woonfunctie,14580
307202,308288,verblijfsobject,21,,2,363200000238767.0,363010000778858.0,52.34898036,4.89743952,121629.0,484676.0,66,woonfunctie,14580
307203,308289,verblijfsobject,21,,H,363200000238765.0,363010000778856.0,52.34898036,4.89743952,121629.0,484676.0,55,woonfunctie,14580
307204,308290,verblijfsobject,23,,1,363200000238772.0,363010000778863.0,52.34898989,4.8975715,121638.0,484677.0,45,woonfunctie,14580
307205,308291,verblijfsobject,23,,2,363200000238773.0,363010000778864.0,52.34898989,4.8975715,121638.0,484677.0,59,woonfunctie,14580
307206,308292,verblijfsobject,23,,H,363200000238771.0,363010000778862.0,52.34898989,4.8975715,121638.0,484677.0,50,woonfunctie,14580
307237,308323,verblijfsobject,22,,1,363200000238769.0,363010000778860.0,52.34878264,4.8974417,121629.0,484654.0,46,woonfunctie,14581
307238,308324,verblijfsobject,22,,2,363200000238770.0,363010000778861.0,52.34878264,4.8974417,121629.0,484654.0,46,woonfunctie,14581
307239,308325,verblijfsobject,22,,H,363200000238768.0,363010000778859.0,52.34878264,4.8974417,121629.0,484654.0,52,woonfunctie,14581
307240,308326,verblijfsobject,24,,1,363200000238775.0,363010000778866.0,52.348783,4.89752976,121635.0,484654.0,46,woonfunctie,14581
307241,308327,verblijfsobject,24,,2,363200000238776.0,363010000778867.0,52.348783,4.89752976,121635.0,484654.0,46,woonfunctie,14581
307242,308328,verblijfsobject,24,,H,363200000238774.0,363010000778865.0,52.348783,4.89752976,121635.0,484654.0,52,woonfunctie,14581
307243,308329,verblijfsobject,26,,1,363200000238778.0,363010000778869.0,52.34881039,4.89763219,121642.0,484657.0,46,woonfunctie,14581
307244,308330,verblijfsobject,26,,2,363200000238779.0,363010000778870.0,52.34881039,4.89763219,121642.0,484657.0,46,woonfunctie,14581
307245,308331,verblijfsobject,26,,H,363200000238777.0,363010000778868.0,52.34881039,4.89763219,121642.0,484657.0,52,woonfunctie,14581
307246,308332,verblijfsobject,1,A,,363200000285306.0,363010000827055.0,52.3501042,4.89752986,121636.0,484801.0,44,woonfunctie,14582
307247,308333,verblijfsobject,1,B,,363200000285307.0,363010000827056.0,52.35011289,4.89745638,121631.0,484802.0,48,woonfunctie,14582
307248,308334,verblijfsobject,1,C,,363200000285308.0,363010000827057.0,52.35011307,4.89750041,121634.0,484802.0,68,woonfunctie,14582
307249,308335,verblijfsobject,3,A,,363200000285312.0,363010000827061.0,52.35004135,4.89754523,121637.0,484794.0,43,woonfunctie,14582
307250,308336,verblijfsobject,3,B,,363200000285313.0,363010000827062.0,52.35003212,4.89748662,121633.0,484793.0,49,woonfunctie,14582
307251,308337,verblijfsobject,3,C,,363200000285314.0,363010000827063.0,52.35004123,4.89751588,121635.0,484794.0,71,woonfunctie,14582
307252,308338,verblijfsobject,5,A,,363200000285318.0,363010000827067.0,52.3499782,4.89748722,121633.0,484787.0,44,woonfunctie,14582
307253,308339,verblijfsobject,5,B,,363200000285319.0,363010000827068.0,52.34997832,4.89751657,121635.0,484787.0,48,woonfunctie,14582
307254,308340,verblijfsobject,5,C,,363200000285320.0,363010000827069.0,52.34997844,4.89754592,121637.0,484787.0,68,woonfunctie,14582
307255,308341,verblijfsobject,7,A,,363200000285324.0,363010000827073.0,52.34992434,4.89750249,121634.0,484781.0,43,woonfunctie,14582
307256,308342,verblijfsobject,7,B,,363200000285325.0,363010000827074.0,52.34992446,4.89753184,121636.0,484781.0,49,woonfunctie,14582
307257,308343,verblijfsobject,7,C,,363200000285326.0,363010000827075.0,52.34992464,4.89757587,121639.0,484781.0,71,woonfunctie,14582
307258,308344,verblijfsobject,9,A,,363200000285330.0,363010000827079.0,52.34985256,4.89753263,121636.0,484773.0,44,woonfunctie,14582
307259,308345,verblijfsobject,9,B,,363200000285331.0,363010000827080.0,52.34986167,4.89756189,121638.0,484774.0,48,woonfunctie,14582
307260,308346,verblijfsobject,9,C,,363200000285332.0,363010000827081.0,52.34986179,4.89759124,121640.0,484774.0,68,woonfunctie,14582
307261,308347,verblijfsobject,11,A,,363200000285336.0,363010000827085.0,52.34980786,4.89759183,121640.0,484768.0,43,woonfunctie,14582
307262,308348,verblijfsobject,11,B,,363200000285337.0,363010000827086.0,52.34979888,4.89759193,121640.0,484767.0,49,woonfunctie,14582
307263,308349,verblijfsobject,11,C,,363200000285338.0,363010000827087.0,52.34980799,4.89762119,121642.0,484768.0,71,woonfunctie,14582
307264,308350,verblijfsobject,13,A,,363200000285342.0,363010000827091.0,52.34975406,4.89762178,121642.0,484762.0,57,woonfunctie,14582
307265,308351,verblijfsobject,13,B,,363200000285343.0,363010000827092.0,52.34975394,4.89759243,121640.0,484762.0,53,woonfunctie,14582
307266,308352,verblijfsobject,13,C,,363200000285344.0,363010000827093.0,52.34975418,4.89765113,121644.0,484762.0,81,woonfunctie,14582
307267,308353,verblijfsobject,15,A,,363200000285348.0,363010000827097.0,52.3496821,4.8976079,121641.0,484754.0,45,woonfunctie,14582
307268,308354,verblijfsobject,15,B,,363200000285349.0,363010000827098.0,52.34969121,4.89763715,121643.0,484755.0,43,woonfunctie,14582
307269,308355,verblijfsobject,15,C,,363200000285350.0,363010000827099.0,52.34969139,4.89768118,121646.0,484755.0,71,woonfunctie,14582
307270,308356,verblijfsobject,17,A,,363200000285354.0,363010000827103.0,52.34962848,4.89768187,121646.0,484748.0,41,woonfunctie,14582
307271,308357,verblijfsobject,17,B,,363200000285355.0,363010000827104.0,52.34963741,4.8976671,121645.0,484749.0,43,woonfunctie,14582
307272,308358,verblijfsobject,17,C,,363200000285356.0,363010000827105.0,52.34963753,4.89769645,121647.0,484749.0,67,woonfunctie,14582
307300,308386,verblijfsobject,20,,1,363200000285361.0,363010000827113.0,52.34952829,4.89736009,121624.0,484737.0,47,woonfunctie,14583
307301,308387,verblijfsobject,20,,2,363200000285362.0,363010000827114.0,52.34952829,4.89736009,121624.0,484737.0,69,woonfunctie,14583
307302,308388,verblijfsobject,20,,H,363200000285360.0,363010000827112.0,52.34952829,4.89736009,121624.0,484737.0,53,woonfunctie,14583
307303,308389,verblijfsobject,22,,1,363200000285364.0,363010000827116.0,52.3494655,4.89739014,121626.0,484730.0,47,woonfunctie,14583
307304,308390,verblijfsobject,22,,2,363200000285365.0,363010000827117.0,52.3494655,4.89739014,121626.0,484730.0,69,woonfunctie,14583
307305,308391,verblijfsobject,22,,H,363200000285363.0,363010000827115.0,52.3494655,4.89739014,121626.0,484730.0,53,woonfunctie,14583
307306,308392,verblijfsobject,1,A,,363200000285223.0,363010000826972.0,52.34955658,4.89768267,121646.0,484740.0,90,woonfunctie,14584
307307,308393,verblijfsobject,1,B,,363200000285224.0,363010000826973.0,52.34952075,4.89771242,121648.0,484736.0,90,woonfunctie,14584
307308,308394,verblijfsobject,1,C,,363200000285225.0,363010000826974.0,52.34949379,4.89771271,121648.0,484733.0,90,woonfunctie,14584
307309,308395,verblijfsobject,3,A,,363200000285229.0,363010000826978.0,52.34956612,4.89781465,121655.0,484741.0,50,woonfunctie,14584
307310,308396,verblijfsobject,3,B,,363200000285230.0,363010000826979.0,52.34955719,4.89782943,121656.0,484740.0,50,woonfunctie,14584
307311,308397,verblijfsobject,3,C,,363200000285231.0,363010000826980.0,52.34951225,4.89782992,121656.0,484735.0,77,woonfunctie,14584
307312,308398,verblijfsobject,5,A,,363200000285235.0,363010000826984.0,52.34957559,4.89793196,121663.0,484742.0,51,woonfunctie,14584
307313,308399,verblijfsobject,5,B,,363200000285236.0,363010000826985.0,52.34954869,4.89794694,121664.0,484739.0,54,woonfunctie,14584
307314,308400,verblijfsobject,5,C,,363200000285237.0,363010000826986.0,52.34953077,4.89796181,121665.0,484737.0,80,woonfunctie,14584
307315,308401,verblijfsobject,7,A,,363200000285241.0,363010000826990.0,52.34959399,4.8980345,121670.0,484744.0,53,woonfunctie,14584
307316,308402,verblijfsobject,7,B,,363200000285242.0,363010000826991.0,52.34956709,4.89804947,121671.0,484741.0,57,woonfunctie,14584
307317,308403,verblijfsobject,7,C,,363200000285243.0,363010000826992.0,52.34954019,4.89806444,121672.0,484738.0,81,woonfunctie,14584
307318,308404,verblijfsobject,9,A,,363200000285247.0,363010000826996.0,52.34959447,4.89815191,121678.0,484744.0,51,woonfunctie,14584
307319,308405,verblijfsobject,9,B,,363200000285248.0,363010000826997.0,52.3495765,4.8981521,121678.0,484742.0,54,woonfunctie,14584
307320,308406,verblijfsobject,9,C,,363200000285249.0,363010000826998.0,52.34955858,4.89816698,121679.0,484740.0,80,woonfunctie,14584
307321,308407,verblijfsobject,11,A,,363200000285253.0,363010000827002.0,52.34961287,4.89825444,121685.0,484746.0,53,woonfunctie,14584
307322,308408,verblijfsobject,11,B,,363200000285254.0,363010000827003.0,52.34959496,4.89826932,121686.0,484744.0,57,woonfunctie,14584
307323,308409,verblijfsobject,11,C,,363200000285255.0,363010000827004.0,52.34957704,4.89828419,121687.0,484742.0,81,woonfunctie,14584
307324,308410,verblijfsobject,13,A,,363200000285259.0,363010000827008.0,52.34964937,4.89838613,121694.0,484750.0,60,woonfunctie,14584
307325,308411,verblijfsobject,13,B,,363200000285260.0,363010000827009.0,52.34961342,4.89838653,121694.0,484746.0,87,woonfunctie,14584
307326,308412,verblijfsobject,13,C,,363200000285261.0,363010000827010.0,52.34958646,4.89838682,121694.0,484743.0,87,woonfunctie,14584
307327,308413,verblijfsobject,13,D,,363200000285262.0,363010000827011.0,52.34959563,4.89843075,121697.0,484744.0,87,woonfunctie,14584
307328,308414,verblijfsobject,15,A,,363200000285266.0,363010000827015.0,52.34955081,4.8984606,121699.0,484739.0,92,woonfunctie,14584
307329,308415,verblijfsobject,15,B,,363200000285267.0,363010000827016.0,52.3495417,4.89843135,121697.0,484738.0,93,woonfunctie,14584
307330,308416,verblijfsobject,17,A,,363200000285271.0,363010000827020.0,52.34947897,4.89847607,121700.0,484731.0,54,woonfunctie,14584
307331,308417,verblijfsobject,17,B,,363200000285272.0,363010000827021.0,52.34947897,4.89847607,121700.0,484731.0,54,woonfunctie,14584
307332,308418,verblijfsobject,17,C,,363200000285273.0,363010000827022.0,52.34947903,4.89849074,121701.0,484731.0,80,woonfunctie,14584
307333,308419,verblijfsobject,19,A,,363200000285277.0,363010000827026.0,52.34941594,4.89844741,121698.0,484724.0,54,woonfunctie,14584
307334,308420,verblijfsobject,19,B,,363200000285278.0,363010000827027.0,52.34941612,4.89849144,121701.0,484724.0,54,woonfunctie,14584
307335,308421,verblijfsobject,19,C,,363200000285279.0,363010000827028.0,52.34942523,4.89852069,121703.0,484725.0,80,woonfunctie,14584
307336,308422,verblijfsobject,21,A,,363200000285283.0,363010000827032.0,52.34934416,4.89847755,121700.0,484716.0,54,woonfunctie,14585
307337,308423,verblijfsobject,21,B,,363200000285284.0,363010000827033.0,52.34934434,4.89852158,121703.0,484716.0,54,woonfunctie,14585
307338,308424,verblijfsobject,21,C,,363200000285285.0,363010000827034.0,52.34935345,4.89855083,121705.0,484717.0,80,woonfunctie,14585
307339,308425,verblijfsobject,23,A,,363200000285289.0,363010000827038.0,52.34929941,4.89852207,121703.0,484711.0,54,woonfunctie,14585
307340,308426,verblijfsobject,23,B,,363200000285290.0,363010000827039.0,52.34929941,4.89852207,121703.0,484711.0,54,woonfunctie,14585
307341,308427,verblijfsobject,23,C,,363200000285291.0,363010000827040.0,52.34929959,4.8985661,121706.0,484711.0,80,woonfunctie,14585
307342,308428,verblijfsobject,25,A,,363200000285292.0,363010000827041.0,52.34923643,4.89850809,121702.0,484704.0,54,woonfunctie,14585
307343,308429,verblijfsobject,25,B,,363200000285293.0,363010000827042.0,52.34923662,4.89855212,121705.0,484704.0,71,woonfunctie,14585
307344,308430,verblijfsobject,25,C,,363200000285294.0,363010000827043.0,52.3492368,4.89859615,121708.0,484704.0,80,woonfunctie,14585
307345,308431,verblijfsobject,27,A,,363200000285295.0,363010000827044.0,52.34917377,4.89856749,121706.0,484697.0,71,woonfunctie,14585
307346,308432,verblijfsobject,27,B,,363200000285296.0,363010000827045.0,52.34916478,4.89856759,121706.0,484696.0,71,woonfunctie,14585
307347,308433,verblijfsobject,27,C,,363200000285297.0,363010000827046.0,52.34917395,4.89861152,121709.0,484697.0,80,woonfunctie,14585
307348,308434,verblijfsobject,29,A,,363200000285298.0,363010000827047.0,52.34911996,4.89859743,121708.0,484691.0,78,woonfunctie,14585
307349,308435,verblijfsobject,29,B,,363200000285299.0,363010000827048.0,52.349093,4.89859773,121708.0,484688.0,71,woonfunctie,14585
307350,308436,verblijfsobject,29,C,,363200000285300.0,363010000827049.0,52.34911116,4.89864156,121711.0,484690.0,80,woonfunctie,14585
307351,308437,verblijfsobject,31,A,,363200000285301.0,363010000827050.0,52.34903902,4.89858365,121707.0,484682.0,71,woonfunctie,14585
307352,308438,verblijfsobject,31,B,,363200000285302.0,363010000827051.0,52.34904819,4.89862758,121710.0,484683.0,51,woonfunctie,14585
307353,308439,verblijfsobject,31,C,,363200000285303.0,363010000827052.0,52.34904837,4.8986716,121713.0,484683.0,80,woonfunctie,14585
307354,308440,verblijfsobject,33,A,,363200000285304.0,363010000827053.0,52.34898527,4.89862827,121710.0,484676.0,58,woonfunctie,14585
307355,308441,verblijfsobject,33,B,,363200000285305.0,363010000827054.0,52.34898546,4.8986723,121713.0,484676.0,86,woonfunctie,14585
307356,308442,verblijfsobject,2,,1,363200000285227.0,363010000826976.0,52.34941163,4.89740541,121627.0,484724.0,47,woonfunctie,14586
307357,308443,verblijfsobject,2,,2,363200000285228.0,363010000826977.0,52.34941163,4.89740541,121627.0,484724.0,69,woonfunctie,14586
307358,308444,verblijfsobject,2,,H,363200000285226.0,363010000826975.0,52.34941163,4.89740541,121627.0,484724.0,53,woonfunctie,14586
307359,308445,verblijfsobject,4,,1,363200000285233.0,363010000826982.0,52.34936682,4.89743526,121629.0,484719.0,47,woonfunctie,14586
307360,308446,verblijfsobject,4,,2,363200000285234.0,363010000826983.0,52.34936682,4.89743526,121629.0,484719.0,69,woonfunctie,14586
307361,308447,verblijfsobject,4,,H,363200000285232.0,363010000826981.0,52.34936682,4.89743526,121629.0,484719.0,43,woonfunctie,14586
307362,308448,verblijfsobject,6,,1,363200000285239.0,363010000826988.0,52.34930397,4.89745063,121630.0,484712.0,47,woonfunctie,14586
307363,308449,verblijfsobject,6,,2,363200000285240.0,363010000826989.0,52.34930397,4.89745063,121630.0,484712.0,69,woonfunctie,14586
307364,308450,verblijfsobject,6,,H,363200000285238.0,363010000826987.0,52.34930397,4.89745063,121630.0,484712.0,53,woonfunctie,14586
307365,308451,verblijfsobject,8,,1,363200000285245.0,363010000826994.0,52.3492501,4.8974659,121631.0,484706.0,47,woonfunctie,14586
307366,308452,verblijfsobject,8,,2,363200000285246.0,363010000826995.0,52.3492501,4.8974659,121631.0,484706.0,69,woonfunctie,14586
307367,308453,verblijfsobject,8,,H,363200000285244.0,363010000826993.0,52.3492501,4.8974659,121631.0,484706.0,53,woonfunctie,14586
307368,308454,verblijfsobject,10,,1,363200000285251.0,363010000827000.0,52.3491963,4.89749584,121633.0,484700.0,47,woonfunctie,14586
307369,308455,verblijfsobject,10,,2,363200000285252.0,363010000827001.0,52.3491963,4.89749584,121633.0,484700.0,69,woonfunctie,14586
307370,308456,verblijfsobject,10,,H,363200000285250.0,363010000826999.0,52.3491963,4.89749584,121633.0,484700.0,53,woonfunctie,14586
307371,308457,verblijfsobject,12,,1,363200000285257.0,363010000827006.0,52.34913345,4.89751121,121634.0,484693.0,47,woonfunctie,14586
307372,308458,verblijfsobject,12,,2,363200000285258.0,363010000827007.0,52.34913345,4.89751121,121634.0,484693.0,69,woonfunctie,14586
307373,308459,verblijfsobject,12,,H,363200000285256.0,363010000827005.0,52.34913345,4.89751121,121634.0,484693.0,53,woonfunctie,14586
307374,308460,verblijfsobject,14,,1,363200000285264.0,363010000827013.0,52.34907965,4.89754116,121636.0,484687.0,46,woonfunctie,14586
307375,308461,verblijfsobject,14,,2,363200000285265.0,363010000827014.0,52.34907965,4.89754116,121636.0,484687.0,66,woonfunctie,14586
307376,308462,verblijfsobject,14,,H,363200000285263.0,363010000827012.0,52.34907965,4.89754116,121636.0,484687.0,51,woonfunctie,14586
307377,308463,verblijfsobject,16,,1,363200000285269.0,363010000827018.0,52.34882873,4.89772005,121648.0,484659.0,50,woonfunctie,14586
307378,308464,verblijfsobject,16,,2,363200000285270.0,363010000827019.0,52.34882873,4.89772005,121648.0,484659.0,50,woonfunctie,14586
307379,308465,verblijfsobject,16,,H,363200000285268.0,363010000827017.0,52.34882873,4.89772005,121648.0,484659.0,52,woonfunctie,14586
307380,308466,verblijfsobject,18,,1,363200000285275.0,363010000827024.0,52.34882005,4.89779353,121653.0,484658.0,50,woonfunctie,14586
307381,308467,verblijfsobject,18,,2,363200000285276.0,363010000827025.0,52.34882005,4.89779353,121653.0,484658.0,50,woonfunctie,14586
307382,308468,verblijfsobject,18,,H,363200000285274.0,363010000827023.0,52.34882005,4.89779353,121653.0,484658.0,52,woonfunctie,14586
307383,308469,verblijfsobject,20,,1,363200000285281.0,363010000827030.0,52.34884743,4.89789596,121660.0,484661.0,50,woonfunctie,14586
307384,308470,verblijfsobject,20,,2,363200000285282.0,363010000827031.0,52.34884743,4.89789596,121660.0,484661.0,50,woonfunctie,14586
307385,308471,verblijfsobject,20,,H,363200000285280.0,363010000827029.0,52.34884743,4.89789596,121660.0,484661.0,52,woonfunctie,14586
307386,308472,verblijfsobject,22,,1,363200000285287.0,363010000827036.0,52.34885678,4.89798392,121666.0,484662.0,42,woonfunctie,14586
307387,308473,verblijfsobject,22,,2,363200000285288.0,363010000827037.0,52.34885678,4.89798392,121666.0,484662.0,42,woonfunctie,14586
307388,308474,verblijfsobject,22,,H,363200000285286.0,363010000827035.0,52.34885678,4.89798392,121666.0,484662.0,46,woonfunctie,14586
307389,308475,verblijfsobject,2,,1,363200000230765.0,363010000770712.0,52.34888429,4.8981157,121675.0,484665.0,48,woonfunctie,14587
307390,308476,verblijfsobject,2,,2,363200000230766.0,363010000770713.0,52.34888429,4.8981157,121675.0,484665.0,48,woonfunctie,14587
307391,308477,verblijfsobject,2,,H,363200000230764.0,363010000770711.0,52.34888429,4.8981157,121675.0,484665.0,96,woonfunctie,14587
307392,308478,verblijfsobject,4,,1,363200000230767.0,363010000770714.0,52.34883055,4.89816032,121678.0,484659.0,46,woonfunctie,14587
