,BuurtCode,InwonersTotaal,Leeftijd 0-15,% Leeftijd 0-15,Leeftijd 65+,% Leeftijd 65+,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid
82,BU03631000,95,5,5.263157894736842,5,5.263157894736842,     1.1,      66
83,BU03631001,0,0,,0,,       .,       .
84,BU03631002,0,0,,5,inf,     1.0,       .
85,BU03631003,30,5,16.666666666666664,10,33.33333333333333,     1.7,       9
86,BU03631004,0,0,,0,,     1.0,       .
87,BU03631005,0,0,,0,,     1.0,       .
88,BU03631006,5,0,0.0,5,100.0,     2.0,       .
89,BU03631007,5,5,100.0,5,100.0,     1.8,       .
91,BU03631100,10,0,0.0,0,0.0,     1.1,      22
92,BU03631102,0,0,,0,,       .,       .
93,BU03631103,120,5,4.166666666666666,5,4.166666666666666,     1.1,      58
94,BU03631104,25,5,20.0,10,40.0,     2.2,      28
95,BU03631105,695,5,0.7194244604316548,5,0.7194244604316548,     1.1,     818
96,BU03631107,0,0,,0,,     1.0,       .
97,BU03631109,0,0,,0,,       .,       .
99,BU03631200,3035,685,22.57001647446458,230,7.57825370675453,     2.2,    9953
100,BU03631201,650,55,8.461538461538462,135,20.76923076923077,     1.6,   28247
102,BU03631300,1995,300,15.037593984962406,230,11.528822055137844,     1.7,   21789
103,BU03631301,2700,325,12.037037037037036,365,13.518518518518519,     1.6,   27101
104,BU03631302,1030,125,12.135922330097088,150,14.563106796116504,     1.7,   21061
105,BU03631303,1705,205,12.023460410557185,375,21.994134897360702,     1.6,   22539
106,BU03631304,1260,165,13.095238095238097,115,9.126984126984127,     1.6,   21990
107,BU03631305,1950,250,12.82051282051282,195,10.0,     1.7,   16355
108,BU03631306,0,0,,0,,       .,       .
109,BU03631307,5,0,0.0,5,100.0,     1.3,       .
111,BU03631400,1370,170,12.408759124087592,165,12.043795620437956,     1.7,   21583
112,BU03631401,845,75,8.875739644970414,175,20.710059171597635,     1.5,   23805
113,BU03631402,1215,100,8.23045267489712,310,25.514403292181072,     1.6,   20615
114,BU03631403,3675,400,10.884353741496598,280,7.6190476190476195,     1.6,   35412
115,BU03631404,2765,285,10.30741410488246,140,5.063291139240507,     1.6,   28125
116,BU03631405,3025,370,12.231404958677686,315,10.413223140495868,     1.8,   26822
118,BU03631500,1270,170,13.385826771653544,145,11.41732283464567,     2.1,   19964
119,BU03631501,15,5,33.33333333333333,5,33.33333333333333,     2.0,      62
120,BU03631502,60,10,16.666666666666664,5,8.333333333333332,     2.1,     455
121,BU03631503,1065,105,9.859154929577464,170,15.96244131455399,     1.7,   18305
123,BU03631600,3850,380,9.87012987012987,450,11.688311688311687,     1.6,   21051
124,BU03631601,3300,300,9.090909090909092,340,10.303030303030303,     1.5,   29159
125,BU03631602,1115,100,8.968609865470851,220,19.730941704035875,     1.6,   17890
127,BU03631700,4645,440,9.472551130247577,600,12.917115177610333,     1.6,   21389
129,BU03631800,2720,285,10.477941176470589,260,9.558823529411764,     1.7,   28338
130,BU03631801,4015,440,10.95890410958904,315,7.84557907845579,     1.6,   25734
132,BU03631900,2240,180,8.035714285714286,185,8.258928571428571,     1.5,   30787
133,BU03631901,2855,285,9.98248686514886,665,23.29246935201401,     1.6,   25234
134,BU03631902,1855,165,8.89487870619946,195,10.512129380053908,     1.5,   29226
136,BU03632000,2540,300,11.811023622047244,255,10.039370078740157,     1.7,   24487
137,BU03632001,2605,260,9.980806142034549,475,18.234165067178505,     1.6,   15902
138,BU03632002,2305,265,11.496746203904555,165,7.158351409978309,     1.7,   34293
140,BU03632100,5695,565,9.920983318700614,470,8.252853380158033,     1.6,   28953
141,BU03632101,2220,250,11.26126126126126,300,13.513513513513514,     1.7,   21974
143,BU03632200,860,90,10.465116279069768,145,16.86046511627907,     1.7,    6871
144,BU03632201,910,105,11.538461538461538,200,21.978021978021978,     1.8,    9990
146,BU03632300,435,65,14.942528735632186,20,4.597701149425287,     1.8,     548
147,BU03632301,0,0,,0,,     1.0,       .
148,BU03632302,115,20,17.391304347826086,10,8.695652173913043,     1.4,     262
149,BU03632303,2425,305,12.577319587628866,125,5.154639175257731,     1.7,   11200
150,BU03632304,945,40,4.232804232804233,5,0.5291005291005291,     1.1,    3260
152,BU03632400,2585,275,10.638297872340425,220,8.51063829787234,     1.6,   22123
153,BU03632401,1910,150,7.853403141361256,230,12.041884816753926,     1.5,   19298
154,BU03632402,2610,225,8.620689655172415,240,9.195402298850574,     1.5,   23360
155,BU03632403,2570,195,7.587548638132295,255,9.922178988326849,     1.5,   32180
156,BU03632404,4945,340,6.875631951466127,485,9.80788675429727,     1.5,   21796
158,BU03632500,2620,185,7.061068702290077,425,16.221374045801525,     1.5,   24506
159,BU03632501,3890,350,8.997429305912597,365,9.383033419023135,     1.6,   28553
160,BU03632502,2340,225,9.615384615384617,270,11.538461538461538,     1.6,   18944
161,BU03632503,3515,325,9.246088193456615,420,11.948790896159316,     1.6,   23994
163,BU03632600,3085,390,12.641815235008103,510,16.53160453808752,     1.7,   22389
164,BU03632601,2780,295,10.611510791366907,460,16.546762589928058,     1.7,   23732
165,BU03632602,2210,265,11.990950226244344,410,18.552036199095024,     1.7,   22596
167,BU03632700,1975,225,11.39240506329114,155,7.848101265822785,     1.7,   17078
168,BU03632701,3265,390,11.944869831546708,385,11.791730474732006,     1.7,   17705
169,BU03632702,670,40,5.970149253731343,10,1.4925373134328357,     1.2,    9714
171,BU03632800,3665,305,8.321964529331515,460,12.551159618008187,     1.6,   17226
172,BU03632801,115,5,4.3478260869565215,15,13.043478260869565,     1.1,     501
173,BU03632802,3715,475,12.78600269179004,475,12.78600269179004,     1.8,   23537
174,BU03632803,3125,420,13.44,385,12.32,     1.7,   25657
176,BU03632900,4240,460,10.849056603773585,665,15.683962264150944,     1.7,   21509
177,BU03632901,3745,380,10.14686248331108,455,12.149532710280374,     1.6,   21501
178,BU03632902,2055,340,16.54501216545012,320,15.571776155717762,     1.9,    9255
180,BU03633000,4050,465,11.481481481481481,530,13.086419753086421,     1.8,   23117
181,BU03633001,5045,725,14.370664023785926,535,10.604558969276512,     1.9,   26042
183,BU03633100,3935,495,12.579415501905972,290,7.369758576874205,     1.7,   23859
184,BU03633101,4565,495,10.843373493975903,405,8.87185104052574,     1.7,   31347
185,BU03633102,4015,560,13.947696139476962,580,14.44582814445828,     2.0,   25432
187,BU03633200,5765,740,12.836079791847354,905,15.69817866435386,     1.8,   22472
188,BU03633201,3535,515,14.56859971711457,420,11.881188118811881,     2.0,   25580
189,BU03633202,430,55,12.790697674418606,60,13.953488372093023,     2.0,    4967
190,BU03633203,15,5,33.33333333333333,5,33.33333333333333,     1.6,      39
192,BU03633300,1410,190,13.47517730496454,105,7.446808510638298,     1.9,    6184
193,BU03633301,2410,310,12.863070539419086,275,11.410788381742739,     1.9,    9053
194,BU03633302,3080,385,12.5,470,15.259740259740258,     1.9,   18220
195,BU03633303,2390,235,9.832635983263598,420,17.573221757322173,     1.7,   18889
196,BU03633304,2805,475,16.93404634581105,150,5.347593582887701,     2.4,   18036
197,BU03633305,2775,540,19.45945945945946,180,6.486486486486487,     2.3,   23428
198,BU03633306,1430,165,11.538461538461538,185,12.937062937062937,     1.8,   13167
199,BU03633307,1700,155,9.117647058823529,270,15.88235294117647,     1.7,   16941
200,BU03633308,30,5,16.666666666666664,10,33.33333333333333,     1.5,     759
201,BU03633309,540,70,12.962962962962962,10,1.8518518518518516,     1.7,    3112
202,BU03633310,160,30,18.75,30,18.75,     1.7,    3168
204,BU03633400,20,10,50.0,5,25.0,     2.5,      56
205,BU03633402,495,5,1.0101010101010102,5,1.0101010101010102,     1.1,    2209
206,BU03633403,255,15,5.88235294117647,10,3.9215686274509802,     1.3,    1525
207,BU03633404,75,10,13.333333333333334,15,20.0,     2.1,      63
208,BU03633405,4095,685,16.727716727716725,190,4.63980463980464,     1.8,   14216
209,BU03633406,35,5,14.285714285714285,5,14.285714285714285,     1.7,     155
211,BU03633500,1595,360,22.570532915360502,60,3.761755485893417,     2.3,   11011
212,BU03633501,2680,670,25.0,115,4.291044776119403,     2.8,   11893
213,BU03633502,2795,625,22.361359570661897,150,5.366726296958855,     2.8,   10304
214,BU03633504,2840,515,18.133802816901408,225,7.922535211267606,     2.0,   16760
215,BU03633505,5780,1340,23.18339100346021,280,4.844290657439446,     2.5,   18613
217,BU03633600,450,60,13.333333333333334,25,5.555555555555555,     1.8,     864
218,BU03633601,60,0,0.0,5,8.333333333333332,     1.1,      88
220,BU03633700,540,35,6.481481481481481,30,5.555555555555555,     1.5,    5050
221,BU03633702,5700,835,14.649122807017545,500,8.771929824561402,     1.9,   16722
222,BU03633703,4105,550,13.398294762484774,365,8.891595615103533,     1.8,   20654
223,BU03633704,1865,315,16.890080428954423,160,8.579088471849866,     1.9,   22525
224,BU03633705,4310,555,12.877030162412991,355,8.236658932714617,     1.7,   22309
225,BU03633706,2400,355,14.791666666666666,190,7.916666666666666,     1.8,   24521
227,BU03633802,4080,445,10.906862745098039,335,8.21078431372549,     1.7,   13771
228,BU03633803,1755,195,11.11111111111111,150,8.547008547008547,     1.8,   26522
230,BU03633900,2015,190,9.429280397022332,255,12.655086848635236,     1.5,   14220
231,BU03633901,2220,410,18.46846846846847,150,6.756756756756757,     1.8,   13907
232,BU03633902,2255,340,15.077605321507761,225,9.977827050997783,     2.1,   18475
233,BU03633903,4525,935,20.662983425414364,290,6.4088397790055245,     2.3,   15240
235,BU03634000,1700,140,8.235294117647058,135,7.941176470588235,     1.5,   20998
236,BU03634001,3180,430,13.522012578616351,290,9.119496855345911,     1.8,   25852
237,BU03634002,1880,235,12.5,170,9.042553191489363,     1.7,   26397
239,BU03634100,1975,235,11.89873417721519,180,9.113924050632912,     1.7,   27857
240,BU03634101,2235,245,10.961968680089486,205,9.172259507829978,     1.7,   28555
241,BU03634102,1355,155,11.439114391143912,165,12.177121771217712,     1.7,   31865
242,BU03634103,2670,355,13.295880149812733,30,1.1235955056179776,     1.0,   27727
244,BU03634200,3040,380,12.5,235,7.730263157894737,     1.8,   26078
245,BU03634201,3495,445,12.732474964234623,345,9.871244635193133,     1.7,   24190
246,BU03634202,1930,225,11.658031088082902,165,8.549222797927461,     1.7,   31727
247,BU03634203,1870,175,9.358288770053475,245,13.101604278074866,     1.6,   24311
249,BU03634300,3790,510,13.456464379947231,305,8.047493403693931,     1.8,   24279
250,BU03634301,3040,355,11.677631578947368,320,10.526315789473683,     1.7,   18750
252,BU03634400,1555,205,13.183279742765272,200,12.861736334405144,     1.7,   18484
253,BU03634401,3600,450,12.5,370,10.277777777777777,     1.7,   22697
254,BU03634402,2520,275,10.912698412698413,200,7.936507936507936,     1.7,   25789
255,BU03634403,2160,220,10.185185185185185,220,10.185185185185185,     1.7,   19161
256,BU03634404,1670,220,13.17365269461078,190,11.377245508982035,     1.7,   24088
257,BU03634405,260,10,3.8461538461538463,20,7.6923076923076925,     1.3,     801
259,BU03634500,2430,215,8.847736625514404,200,8.23045267489712,     1.6,   24336
260,BU03634501,1550,165,10.64516129032258,230,14.838709677419354,     1.6,    8185
262,BU03634600,1425,290,20.350877192982455,185,12.982456140350877,     2.2,   12396
263,BU03634601,2580,470,18.217054263565892,360,13.953488372093023,     2.1,   19004
