,BuurtCode,Neighborhood,TotalResidents,Age 0-15,% age 0-15,Age 65+,%Age 65+,AverageSizeofHoushold,Population Density,Building year before 2000,Building year after 2000,woning,horeca,winkel,bedrijf_en_kantoor,kerk_en_gebedsruimte,cultuur_en_musea,medisch,bejaardenhuis_tehuis_en_bijzondere_woonfunctie,kinderdagverblijf_en_basisschool,middelbaar_en_speciaal_onderwijs,beroeps_en_wetenschappelijk_onderwijs,garage_en_parkeerplaats,nr_of_rent,nr_of_possession,avg_construction_year,time_of_change,nr_of_tussengebouw,nr_of_hoekgebouw,nr_of_vrijstaandgebouw,nr_of_half_vrijstaandgebouw,nr_of_kopgebouw,nr_of_situation_anders,avg_nr_of_accomodations_in_building,avg_nr_of_res_accomodations_in_building,floorsize_accomodation,nr_of_monuments,incident,nr_of_inspections_within_timeline,nr_of_inspections_with_observation,nr_of_inspections_without_observation,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect,Supermarkt,Verzorghuizen,Museum
10,BU03630105,Spuistraat Zuid,720.0,40.0,5.555555555555555,70.0,9.722222222222223,     1.4,   12101,93,7,170.0,24.0,40.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,203.0,40.0,1360.0,31/12/9999,213.0,83.0,0.0,0.0,1.0,3.0,14.0,7.0,227.0,86.0,5.0,40.0,22.0,18.0,17.0,1.0,121089.59928722156,487103.5752977725,4.889275962731535,52.3707626108558,866.0,1004.0,1750.0,3934.0,32224.0,0.0,840.0,585.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,,14.0
11,BU03630106,Begijnhofbuurt,410.0,10.0,2.4390243902439024,70.0,17.073170731707318,     1.2,    5862,100,0,96.0,25.0,109.0,62.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,219.0,23.0,1150.0,31/12/9999,170.0,116.0,0.0,0.0,1.0,1.0,7.0,3.0,329.0,115.0,7.0,42.0,26.0,16.0,2.0,1.0,121228.4310152207,487088.6822770167,4.891315942876712,52.37063731660579,679.0,788.0,1364.0,4759.0,44703.0,14.0,577.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,,14.0
12,BU03630107,Kalverdriehoek,295.0,10.0,3.389830508474576,20.0,6.779661016949152,     1.4,    5644,98,2,85.0,8.0,58.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,118.0,30.0,1278.0,31/12/9999,83.0,65.0,0.0,0.0,0.0,18.0,16.0,8.0,261.0,37.0,2.0,19.0,10.0,9.0,3.0,0.0,121219.5624470339,486784.6500084745,4.891216263029661,52.36790434292373,688.0,799.0,1763.0,8135.0,54025.0,21.0,427.0,206.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,,14.0
13,BU03630200,Langestraat e.o.,1865.0,185.0,9.919571045576408,390.0,20.91152815013405,     1.6,   19227,99,1,295.0,7.0,12.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,213.0,130.0,1240.0,31/12/9999,349.0,22.0,0.0,0.0,0.0,0.0,9.0,4.0,97.0,23.0,7.0,37.0,26.0,11.0,36.0,0.0,121153.92514473684,487934.6185692521,4.890136755844875,52.37823538912743,1179.0,1368.0,2379.0,1368.0,6177.0,49.0,1444.0,1230.0,30.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,13.0
14,BU03630201,Leliegracht e.o.,1800.0,110.0,6.111111111111111,265.0,14.722222222222223,     1.5,   13232,100,0,332.0,18.0,19.0,106.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,293.0,139.0,1350.0,31/12/9999,355.0,129.0,0.0,0.0,0.0,9.0,17.0,8.0,209.0,102.0,3.0,62.0,41.0,21.0,18.0,1.0,120956.74806768414,487659.1435441274,4.8872690040411415,52.37574743094891,1132.0,1314.0,2402.0,2191.0,13349.0,64.0,1485.0,1185.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,13.0
15,BU03630202,Felix Meritisbuurt,2020.0,120.0,5.9405940594059405,320.0,15.84158415841584,     1.5,   12547,99,1,345.0,33.0,85.0,95.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,324.0,168.0,1254.0,31/12/9999,521.0,45.0,0.0,0.0,0.0,0.0,8.0,4.0,257.0,78.0,11.0,117.0,57.0,60.0,41.0,3.0,120822.28607621008,487158.3549031926,4.885345393743563,52.3712383492585,1072.0,1245.0,2168.0,2379.0,10392.0,52.0,1883.0,1428.0,24.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,13.0
16,BU03630203,Leidsegracht Noord,675.0,45.0,6.666666666666667,120.0,17.77777777777778,     1.6,   12640,99,1,114.0,6.0,29.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,54.0,1369.0,31/12/9999,136.0,35.0,0.0,0.0,0.0,0.0,10.0,5.0,252.0,12.0,4.0,53.0,22.0,31.0,11.0,1.0,120771.11863811188,486793.0882062937,4.884631288688811,52.36795240877622,1254.0,1457.0,2509.0,1873.0,13329.0,5.0,572.0,423.0,9.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,13.0
17,BU03630300,Spiegelbuurt,800.0,75.0,9.375,105.0,13.125,     1.7,   10046,99,1,139.0,14.0,40.0,55.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,138.0,56.0,1260.0,31/12/9999,235.0,12.0,0.0,0.0,0.0,1.0,10.0,5.0,170.0,54.0,8.0,25.0,13.0,12.0,10.0,0.0,120958.08706585364,486431.5358914634,4.887412989109756,52.36471465413415,1090.0,1264.0,2362.0,2659.0,15221.0,55.0,820.0,597.0,6.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,,7.0
18,BU03630301,Gouden Bocht,145.0,15.0,10.344827586206897,30.0,20.689655172413797,     1.6,    3180,93,7,27.0,8.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,10.0,1358.0,31/12/9999,38.0,26.0,0.0,0.0,0.0,0.0,13.0,7.0,547.0,34.0,3.0,13.0,10.0,3.0,0.0,0.0,121195.74965608463,486539.64364021167,4.890891265343916,52.36570092957672,1157.0,1342.0,2628.0,8306.0,77756.0,17.0,187.0,83.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,,7.0
19,BU03630302,Van Loonbuurt,1405.0,105.0,7.473309608540925,260.0,18.50533807829181,     1.6,   10834,97,3,250.0,14.0,42.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,221.0,95.0,1266.0,31/12/9999,331.0,33.0,2.0,0.0,0.0,1.0,9.0,4.0,238.0,34.0,7.0,55.0,25.0,30.0,18.0,0.0,121336.05681585905,486283.8477788546,4.892976805506608,52.36341061690749,1217.0,1413.0,2423.0,1990.0,14749.0,41.0,1129.0,854.0,13.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,,7.0
